bioguide_id,full_name,communication_count,attack_personal,outcome_bipartisanship,attack_personal_pct,outcome_bipartisanship_pct,attack_personal_norm,outcome_bipartisanship_norm,attack_personal_pct_norm,outcome_bipartisanship_pct_norm
H001091,Ashley Hinson,278.0,1.0,22.0,0.3597122302158274,7.913669064748201,29.88410532808442,50.27717851067543,19.80637772114128,59.53257529724524
H001093,Erin Houchin,187.0,4.0,8.0,2.13903743315508,4.27807486631016,33.84160303869421,24.577639682883927,34.48607754202398,26.34731744151565
H001094,Val Hoyle,,15.27,21.86,3.72,6.91,50.0,50.0,50.0,50.0
H001095,Wesley Hunt,383.0,22.0,2.0,5.7441253263707575,0.5221932114882507,59.827727057913684,16.216277000614294,69.53744516509352,6.232678825019702
H001096,Harriet Hageman,404.0,2.0,8.0,0.49504950495049505,1.9801980198019802,31.1800069324024,24.577639682883927,20.77132344333903,11.799912526137685
H001098,Abraham Hamadeh,,15.27,21.86,3.72,6.91,50.0,50.0,50.0,50.0
H001099,Mike Haridopolos,,15.27,21.86,3.72,6.91,50.0,50.0,50.0,50.0
H001100,Jeff Hurd,,15.27,21.86,3.72,6.91,50.0,50.0,50.0,50.0
H001101,Pat Harrigan,,15.27,21.86,3.72,6.91,50.0,50.0,50.0,50.0
H001102,Mark Harris,,15.27,21.86,3.72,6.91,50.0,50.0,50.0,50.0
H001103,Pablo Hernández,,15.27,21.86,3.72,6.91,50.0,50.0,50.0,50.0
H001104,Jon Husted,,15.27,21.86,3.72,6.91,50.0,50.0,50.0,50.0
I000056,Darrell Issa,88.0,9.0,1.0,10.227272727272728,1.1363636363636365,40.831611500213924,15.027941766894298,94.98344618754221,8.258476054783154
I000058,Glenn Ivey,173.0,2.0,14.0,1.1560693641618496,8.092485549132949,31.1800069324024,34.82407507109054,25.86680329858535,61.189111082333994
J000288,Henry Johnson,222.0,18.0,4.0,8.108108108108109,1.8018018018018018,54.0209504010364,18.771384182753586,86.60924351470183,10.973619921250155
J000289,Jim Jordan,216.0,11.0,1.0,5.092592592592593,0.4629629629629629,43.72622037741582,15.027941766894298,63.555944596672,6.059854284733504
J000293,Ron Johnson,207.0,6.0,8.0,2.898550724637681,3.864734299516908,36.586489164124316,24.577639682883927,41.78344172883147,23.207359532050877
J000294,Hakeem Jeffries,146.0,4.0,3.0,2.73972602739726,2.054794520547945,33.84160303869421,17.464170428385355,40.22436479866913,12.158162193445133
J000295,David Joyce,213.0,0.0,54.0,0.0,25.352112676056336,28.613247652723473,94.46480436599721,17.376426176168696,99.9995357770234
J000298,Pramila Jayapal,548.0,32.0,16.0,5.839416058394161,2.9197080291970803,73.19472836661927,38.55949306930117,70.37463171472275,16.87277912557981
J000299,Mike Johnson,511.0,20.0,34.0,3.9138943248532287,6.653620352250488,56.94311238473351,72.65731262359222,51.952569387255835,47.54288531910513
J000301,Dusty Johnson,155.0,1.0,15.0,0.6451612903225806,9.67741935483871,29.88410532808442,36.676009636889034,21.873445885435792,74.7053110642396
J000302,John Joyce,337.0,0.0,23.0,0.0,6.824925816023739,28.613247652723473,52.25583969210729,17.376426176168696,49.18419895732547
J000304,Ronny Jackson,152.0,6.0,7.0,3.9473684210526314,4.605263157894736,36.586489164124316,23.041859944476556,52.28931977825126,28.97814570160202
J000305,Sara Jacobs,229.0,5.0,8.0,2.1834061135371177,3.4934497816593884,35.204408592945136,24.577639682883927,34.89973755098957,20.574165876093087
J000307,John James,152.0,1.0,2.0,0.6578947368421052,1.3157894736842104,29.88410532808442,16.216277000614294,21.968458569423333,8.935102917306603
J000309,Jonathan Jackson,299.0,10.0,6.0,3.3444816053511706,2.0066889632107023,42.27370068126419,21.561260880381887,46.222577182572,11.926270414391581
J000310,Julie Johnson,,15.27,21.86,3.72,6.91,50.0,50.0,50.0,50.0
J000311,Brian Jack,,15.27,21.86,3.72,6.91,50.0,50.0,50.0,50.0
J000312,James Justice,,15.27,21.86,3.72,6.91,50.0,50.0,50.0,50.0
K000009,Marcy Kaptur,513.0,20.0,52.0,3.898635477582846,10.1364522417154,56.94311238473351,93.264471603366,51.79901723345528,78.10042934407123
K000367,Amy Klobuchar,642.0,36.0,91.0,5.607476635514018,14.174454828660435,77.83528051403862,99.96996138609434,68.31891551242394,95.96173846089927
K000375,William Keating,68.0,4.0,7.0,5.88235294117647,10.294117647058822,33.84160303869421,23.041859944476556,70.74837769278884,79.20313594431178
K000376,Mike Kelly,129.0,0.0,6.0,0.0,4.651162790697675,28.613247652723473,21.561260880381887,17.376426176168696,29.356844234498432
K000377,Mark Kelly,522.0,84.0,25.0,16.091954022988507,4.789272030651341,99.44856783853463,56.191698732131215,99.91086472260446,30.50991639700362
K000383,Angus King,345.0,15.0,30.0,4.3478260869565215,8.695652173913043,49.601654490376006,65.68826921046826,56.29851128525692,66.61269165840717
K000384,Tim Kaine,,15.27,21.86,3.72,6.91,50.0,50.0,50.0,50.0
K000385,Robin Kelly,196.0,7.0,12.0,3.571428571428571,6.122448979591836,37.98620191116468,31.23040338222601,48.503597920580276,42.492291136032826
K000388,Trent Kelly,106.0,0.0,10.0,0.0,9.433962264150944,28.613247652723473,27.806964536365253,17.376426176168696,72.79821900361036
K000389,Ro Khanna,370.0,4.0,35.0,1.0810810810810811,9.45945945945946,33.84160303869421,74.28346291565632,25.257975487510066,73.00125116745679
K000391,Raja Krishnamoorthi,264.0,5.0,23.0,1.893939393939394,8.712121212121213,35.204408592945136,52.25583969210729,32.23539554032263,66.75660648710975
K000392,David Kustoff,307.0,0.0,27.0,0.0,8.794788273615636,28.613247652723473,60.06719892411739,17.376426176168696,67.47523092036948
K000393,John Kennedy,854.0,37.0,22.0,4.332552693208431,2.576112412177986,78.91929961330307,50.27717851067543,56.14651813201219,14.87522300510043
K000394,Andy Kim,250.0,33.0,13.0,13.200000000000001,5.2,74.39898923783343,33.00763924499962,99.16657485993044,34.051511580581256
K000397,Young Kim,198.0,0.0,38.0,0.0,19.19191919191919,28.613247652723473,78.84320222817588,17.376426176168696,99.84233495372274
K000398,Thomas Kean,321.0,0.0,25.0,0.0,7.78816199376947,28.613247652723473,56.191698732131215,17.376426176168696,58.35940662901206
K000399,Jennifer Kiggans,560.0,4.0,49.0,0.7142857142857143,8.75,33.84160303869421,91.09934994785394,22.392066762090877,67.08667173479151
K000400,Sydney Kamlager-Dove,287.0,24.0,14.0,8.362369337979095,4.878048780487805,62.65974824425833,34.82407507109054,87.94647924553794,31.261563311472962
K000401,Kevin Kiley,310.0,2.0,8.0,0.6451612903225806,2.5806451612903225,31.1800069324024,24.577639682883927,21.873445885435792,14.90050112297171
K000402,Timothy Kennedy,,15.27,21.86,3.72,6.91,50.0,50.0,50.0,50.0
K000403,Mike Kennedy,,15.27,21.86,3.72,6.91,50.0,50.0,50.0,50.0
K000404,Kimberlyn King-Hinds,,15.27,21.86,3.72,6.91,50.0,50.0,50.0,50.0
K000405,Brad Knott,,15.27,21.86,3.72,6.91,50.0,50.0,50.0,50.0
